"N64_AS","N100_AS","N225_AS","N400_AS","N900_AS","N64_Bi","N100_Bi","N225_Bi","N400_Bi","N900_Bi"
0.82,1.0136,1.248,1.3964,1.6152,1.1425,1.4608,1.89226666666667,2.203,2.45635555555556
0.83125,1.004,1.23128888888889,1.3802,1.60355555555556,1.05125,1.404,1.85351111111111,2.1852,2.44622222222222
0.80125,0.9816,1.21848888888889,1.3574,1.58808888888889,1.06375,1.384,1.81937777777778,2.1626,2.42417777777778
0.78875,0.9392,1.1936,1.3304,1.57066666666667,1.0175,1.356,1.77493333333333,2.1344,2.40933333333333
0.75625,0.9432,1.17368888888889,1.3188,1.54977777777778,0.99875,1.3592,1.72053333333333,2.1042,2.38924444444444
0.7425,0.94,1.16231111111111,1.3024,1.52968888888889,0.98,1.3128,1.69102222222222,2.0806,2.37546666666667
0.71625,0.9288,1.14986666666667,1.2884,1.51457777777778,0.94875,1.3144,1.64337777777778,2.0544,2.35271111111111
0.75875,0.8912,1.12995555555556,1.2648,1.50515555555556,0.9475,1.2696,1.6064,2.016,2.33742222222222
0.73125,0.8504,1.12675555555556,1.2436,1.48497777777778,0.95625,1.2512,1.59146666666667,1.9706,2.31431111111111
0.725,0.84,1.11111111111111,1.223,1.46648888888889,0.90125,1.1744,1.54346666666667,1.9256,2.28826666666667
0.675,0.8176,1.09937777777778,1.208,1.44835555555556,0.84375,1.1856,1.52035555555556,1.8858,2.26568888888889
0.695,0.8096,1.10328888888889,1.1922,1.42408888888889,0.8425,1.1504,1.48835555555556,1.8376,2.24097777777778
0.65875,0.7848,1.08693333333333,1.1766,1.40666666666667,0.7425,1.1232,1.46808888888889,1.8156,2.20648888888889
0.65125,0.772,1.056,1.1604,1.38817777777778,0.67125,1.0576,1.43324444444444,1.7964,2.17306666666667
0.6325,0.796,1.0368,1.148,1.36897777777778,0.6525,1.0208,1.38275555555556,1.762,2.15288888888889
0.605,0.7792,1.02151111111111,1.1394,1.34888888888889,0.6225,0.948,1.34186666666667,1.7124,2.11777777777778
0.56125,0.7216,1.0112,1.1332,1.32817777777778,0.5625,0.8944,1.30595555555556,1.6836,2.09404444444444
0.57,0.6608,0.975288888888889,1.1042,1.30817777777778,0.5075,0.8584,1.27146666666667,1.6572,2.06515555555556
0.58,0.656,0.971022222222222,1.0936,1.29102222222222,0.5075,0.8152,1.21564444444444,1.6128,2.03351111111111
0.62125,0.664,0.9504,1.0816,1.27591111111111,0.4675,0.7728,1.18648888888889,1.575,1.99893333333333
0.61375,0.6232,0.899555555555556,1.0686,1.27057777777778,0.455,0.7664,1.17404444444444,1.5476,1.97182222222222
0.63375,0.5872,0.893866666666667,1.0676,1.24586666666667,0.40875,0.6968,1.12711111111111,1.4996,1.94213333333333
0.57875,0.6376,0.865422222222222,1.051,1.23297777777778,0.36375,0.6976,1.0912,1.4658,1.90302222222222
0.52625,0.5976,0.861511111111111,1.0422,1.22257777777778,0.33875,0.6888,1.05244444444444,1.43,1.86346666666667
0.52375,0.592,0.843022222222222,1.023,1.20133333333333,0.315,0.6944,1.02577777777778,1.397,1.84044444444444
0.5,0.5576,0.849066666666667,1.0082,1.19084444444444,0.3,0.6464,0.974933333333333,1.3856,1.79857777777778
0.4525,0.5256,0.817066666666667,0.992,1.16577777777778,0.3075,0.6256,0.968533333333333,1.3438,1.76453333333333
0.43625,0.552,0.822755555555556,0.9798,1.15102222222222,0.28,0.5728,0.954311111111111,1.3112,1.73768888888889
0.4675,0.54,0.830933333333333,0.9418,1.136,0.26875,0.604,0.932622222222222,1.2768,1.7112
0.42625,0.5376,0.8416,0.9336,1.12222222222222,0.2575,0.5408,0.910577777777778,1.2398,1.67777777777778
0.43875,0.52,0.790044444444444,0.9112,1.10933333333333,0.26875,0.5136,0.904177777777778,1.211,1.64444444444444
0.3875,0.4968,0.786133333333333,0.878,1.09831111111111,0.26625,0.4896,0.833066666666667,1.1822,1.6016
