"p001_AS","p005_AS","p01_AS","p05_AS","p1_AS","p001_Bi","p005_Bi","p01_Bi","p05_Bi","p1_Bi"
1.8752,1.8592,1.88231111111111,1.85493333333333,1.86488888888889,2.49884444444444,2.48284444444444,2.48071111111111,2.45297777777778,2.46613333333333
1.87555555555556,1.85671111111111,1.88053333333333,1.85066666666667,1.86346666666667,2.49528888888889,2.4864,2.48106666666667,2.45333333333333,2.46826666666667
1.8752,1.85351111111111,1.88088888888889,1.84604444444444,1.85955555555556,2.49706666666667,2.48711111111111,2.48071111111111,2.45653333333333,2.46968888888889
1.87448888888889,1.84853333333333,1.87911111111111,1.84035555555556,1.85777777777778,2.49848888888889,2.48675555555556,2.48035555555556,2.45688888888889,2.4672
1.87306666666667,1.8464,1.87626666666667,1.83751111111111,1.85671111111111,2.4992,2.48746666666667,2.47822222222222,2.45724444444444,2.46791111111111
1.87093333333333,1.84497777777778,1.87591111111111,1.83324444444444,1.85457777777778,2.49955555555556,2.48711111111111,2.47964444444444,2.45582222222222,2.46542222222222
1.86702222222222,1.84497777777778,1.86986666666667,1.83004444444444,1.85493333333333,2.50062222222222,2.4832,2.47928888888889,2.45617777777778,2.46542222222222
1.86311111111111,1.84391111111111,1.86808888888889,1.82755555555556,1.85386666666667,2.50026666666667,2.4832,2.48106666666667,2.4544,2.4672
1.86026666666667,1.84106666666667,1.86737777777778,1.82151111111111,1.85173333333333,2.49813333333333,2.48284444444444,2.48035555555556,2.45475555555556,2.46933333333333
1.856,1.84142222222222,1.86204444444444,1.81973333333333,1.84924444444444,2.4992,2.48355555555556,2.47964444444444,2.45297777777778,2.46897777777778
1.85244444444444,1.8432,1.85564444444444,1.81724444444444,1.84284444444444,2.49991111111111,2.48426666666667,2.48106666666667,2.4544,2.46897777777778
1.85208888888889,1.83964444444444,1.85422222222222,1.81226666666667,1.84071111111111,2.49991111111111,2.4832,2.47928888888889,2.45688888888889,2.46933333333333
1.85173333333333,1.83253333333333,1.85315555555556,1.81155555555556,1.83893333333333,2.4992,2.48071111111111,2.47964444444444,2.45973333333333,2.46897777777778
1.84924444444444,1.82897777777778,1.85066666666667,1.80871111111111,1.83715555555556,2.49777777777778,2.48071111111111,2.47644444444444,2.45973333333333,2.46684444444444
1.8464,1.82755555555556,1.84924444444444,1.80977777777778,1.83324444444444,2.50062222222222,2.47822222222222,2.47608888888889,2.46044444444444,2.46862222222222
1.84462222222222,1.82186666666667,1.84995555555556,1.80693333333333,1.8304,2.49813333333333,2.47964444444444,2.47644444444444,2.46008888888889,2.46791111111111
1.84,1.82044444444444,1.84711111111111,1.80551111111111,1.8272,2.49777777777778,2.47751111111111,2.47857777777778,2.45831111111111,2.46791111111111
1.83644444444444,1.81902222222222,1.84533333333333,1.80373333333333,1.82435555555556,2.49777777777778,2.4768,2.47751111111111,2.45973333333333,2.46968888888889
1.83537777777778,1.8112,1.84355555555556,1.79982222222222,1.81831111111111,2.49813333333333,2.47893333333333,2.47857777777778,2.46008888888889,2.46933333333333
1.83502222222222,1.80906666666667,1.84213333333333,1.79911111111111,1.81582222222222,2.496,2.47928888888889,2.47928888888889,2.46364444444444,2.46826666666667
1.82933333333333,1.80302222222222,1.83786666666667,1.79448888888889,1.81048888888889,2.49635555555556,2.47644444444444,2.48355555555556,2.46186666666667,2.46435555555556
1.82791111111111,1.80017777777778,1.83537777777778,1.79377777777778,1.80728888888889,2.496,2.4768,2.48426666666667,2.46222222222222,2.46506666666667
1.82542222222222,1.79591111111111,1.83111111111111,1.78737777777778,1.80337777777778,2.49351111111111,2.46862222222222,2.48817777777778,2.464,2.46328888888889
1.82257777777778,1.78986666666667,1.82328888888889,1.78595555555556,1.80053333333333,2.49386666666667,2.46826666666667,2.49066666666667,2.46471111111111,2.46364444444444
1.81724444444444,1.78524444444444,1.82115555555556,1.78204444444444,1.79733333333333,2.49351111111111,2.46862222222222,2.48782222222222,2.46897777777778,2.45724444444444
1.80906666666667,1.7824,1.80942222222222,1.77422222222222,1.79377777777778,2.49386666666667,2.46862222222222,2.48462222222222,2.4672,2.45404444444444
1.80124444444444,1.77671111111111,1.80408888888889,1.76355555555556,1.7888,2.48853333333333,2.46933333333333,2.48177777777778,2.46755555555556,2.45191111111111
1.79271111111111,1.77244444444444,1.79875555555556,1.75857777777778,1.77848888888889,2.48888888888889,2.46364444444444,2.48071111111111,2.46862222222222,2.44871111111111
1.78097777777778,1.77066666666667,1.79768888888889,1.75253333333333,1.76853333333333,2.48711111111111,2.46008888888889,2.47893333333333,2.47075555555556,2.44693333333333
1.77457777777778,1.76604444444444,1.7888,1.75004444444444,1.76462222222222,2.48533333333333,2.45475555555556,2.47857777777778,2.46862222222222,2.44515555555556
1.7664,1.76071111111111,1.78311111111111,1.73937777777778,1.76355555555556,2.48071111111111,2.45653333333333,2.47751111111111,2.46933333333333,2.44373333333333
1.75644444444444,1.76035555555556,1.78133333333333,1.73013333333333,1.75822222222222,2.47893333333333,2.45617777777778,2.47857777777778,2.46897777777778,2.44266666666667
1.7536,1.74897777777778,1.76924444444444,1.72444444444444,1.75253333333333,2.47786666666667,2.45582222222222,2.48071111111111,2.47004444444444,2.44088888888889
1.74897777777778,1.74506666666667,1.76284444444444,1.712,1.74542222222222,2.4768,2.45404444444444,2.47893333333333,2.46897777777778,2.43662222222222
1.74044444444444,1.74008888888889,1.74826666666667,1.70915555555556,1.73546666666667,2.47537777777778,2.45404444444444,2.47964444444444,2.46826666666667,2.432
1.73368888888889,1.72764444444444,1.73546666666667,1.70062222222222,1.72764444444444,2.47182222222222,2.45262222222222,2.47608888888889,2.4672,2.43093333333333
1.71946666666667,1.71662222222222,1.72622222222222,1.69386666666667,1.7184,2.4736,2.44124444444444,2.47822222222222,2.4608,2.42773333333333
